Process Name,Count
System Idle Process,1
System,1
,1
lsass.exe,1
Registry,1
pacjsworker.exe,1
smss.exe,1
svchost.exe,93
csrss.exe,2
LsaIso.exe,1
winlogon.exe,1
services.exe,1
wininit.exe,1
WUDFHost.exe,4
fontdrvhost.exe,2
dwm.exe,1
SgrmBroker.exe,1
Code.exe,12
NisSrv.exe,1
IntelCpHDCPSvc.exe,1
CompPkgSrv.exe,1
ipf_helper.exe,1
powershell.exe,1
WmiPrvSE.exe,5
ctfmon.exe,1
MemCompression,1
dllhost.exe,3
SenseCE.exe,1
conhost.exe,4
spoolsv.exe,1
OneApp.IGCC.WinService.exe,1
IntelAudioService.exe,1
ELANFPService.exe,1
jhi_service.exe,1
explorer.exe,1
ipfsvc.exe,1
mysqld.exe,2
ipf_uf.exe,1
SMSvcHost.exe,2
RstMwService.exe,1
RtkAudUService64.exe,3
MsSense.exe,1
TbtP2pShortcutService.exe,1
kass.exe,1
MsMpEng.exe,1
WMIRegistrationService.exe,1
GoogleCrashHandler.exe,1
ZSATrayManager.exe,1
dasHost.exe,1
sihost.exe,1
Microsoft.Management.Services.IntuneWindowsAgent.exe,1
BioIso.exe,1
CcmExec.exe,1
SearchIndexer.exe,1
OneDrive.exe,1
GoogleCrashHandler64.exe,1
Teams.exe,10
CmRcService.exe,1
SCNotification.exe,1
mongod.exe,1
TextInputHost.exe,1
msedge.exe,17
taskhostw.exe,2
ZSAService.exe,1
agentmonitor.exe,1
aeagent.exe,1
RuntimeBroker.exe,7
ACCSvc.exe,1
SearchProtocolHost.exe,1
keyacc32.exe,1
SearchFilterHost.exe,1
SenseTVM.exe,1
uhssvc.exe,1
SearchApp.exe,2
ShellExperienceHost.exe,1
audiodg.exe,1
ZSATray.exe,1
SecurityHealthSystray.exe,1
ZSATunnel.exe,1
StartMenuExperienceHost.exe,1
UserOOBEBroker.exe,1
LockApp.exe,1
ApplicationFrameHost.exe,1
SecurityHealthService.exe,1
ZSAUpm.exe,1
SystemSettings.exe,1
unsecapp.exe,1
QASvc.exe,1
QAAdminAgent.exe,1
backgroundTaskHost.exe,1
QAAgent.exe,1
SenseNdr.exe,1
FileCoAuth.exe,1
pwahelper.exe,1
python.exe,1
Microsoft.SharePoint.exe,1
PhoneExperienceHost.exe,1
